series;name;freq;block_g;block_s;block_r;block_f;block_pe;months_lag
gdp;Сезонно-сглаженный ВВП в ценах 2021 года;q;1;0;0;0;0;4
agri;Сезонно-сглаженный ВДС: Сельское хозяйство в ценах 2021 года;q;1;0;0;0;0;4
mining;Сезонно-сглаженный ВДС: Добыча  в ценах 2021 года;q;1;0;0;0;0;4
manufacturing;Сезонно-сглаженный ВДС: Обработка в ценах 2021 года;q;1;0;0;0;0;4
egpiv;Сезонно-сглаженный ВДС: ЭГиВ в ценах 2021 года;q;1;0;0;0;0;4
construction;Сезонно-сглаженный ВДС: Строительство в ценах 2021 года;q;1;0;0;0;0;4
trade;Сезонно-сглаженный ВДС: Торговля в ценах 2021 года;q;1;0;0;0;0;4
transport;Сезонно-сглаженный ВДС: Транспортировка в ценах 2021 года;q;1;0;0;0;0;4
finance;Сезонно-сглаженный ВДС: Финансы в ценах 2021 года;q;1;0;0;0;0;4
real_estate;Сезонно-сглаженный ВДС: Недвижимость в ценах 2021 года;q;1;0;0;0;0;4
others;Сезонно-сглаженный ВДС: Прочие (ВВП- (2-10)-(12)) в ценах 2021 года;q;1;0;0;0;0;4
taxes;Сезонно-сглаженный Чистые налоги в ценах 2021 года;q;1;0;0;0;0;4
PMI_Mnf;Manufacturing PMI;m;1;1;0;0;0;1
PMI_Serv;Services PMI;m;1;1;0;0;0;1
PMI_Comp;Composite PMI;m;1;1;0;0;0;1
IBC_total;Экономика всего: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_total_fact;Экономика всего: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_total_3m;Экономика всего: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_total_output;"Экономика всего: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_total_output_3m;"Экономика всего: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_total_demand;"Экономика всего: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_total_demand_3m;"Экономика всего: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_total_price;"Экономика всего: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_total_price_3m;"Экономика всего: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_total_costs;"Экономика всего: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_total_credit;"Экономика всего: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_ip;Промышленное производство: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_ip_fact;Промышленное производство: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_ip_3m;Промышленное производство: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_ip_output;"Промышленное производство: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_ip_output_3m;"Промышленное производство: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_ip_demand;"Промышленное производство: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_ip_demand_3m;"Промышленное производство: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_ip_price;"Промышленное производство: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_ip_price_3m;"Промышленное производство: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_ip_costs;"Промышленное производство: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_ip_credit;"Промышленное производство: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_mining;Добыча полезных ископаемых: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_mining_fact;Добыча полезных ископаемых: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_mining_3m;Добыча полезных ископаемых: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_mining_output;"Добыча полезных ископаемых: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_mining_output_3m;"Добыча полезных ископаемых: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_mining_demand;"Добыча полезных ископаемых: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_mining_demand_3m;"Добыча полезных ископаемых: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_mining_price;"Добыча полезных ископаемых: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_mining_price_3m;"Добыча полезных ископаемых: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_mining_costs;"Добыча полезных ископаемых: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_mining_credit;"Добыча полезных ископаемых: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_mnf;Обрабатывающие производства: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_mnf_fact;Обрабатывающие производства: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_mnf_3m;Обрабатывающие производства: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_mnf_output;"Обрабатывающие производства: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_mnf_output_3m;"Обрабатывающие производства: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_mnf_demand;"Обрабатывающие производства: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_mnf_demand_3m;"Обрабатывающие производства: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_mnf_price;"Обрабатывающие производства: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_mnf_price_3m;"Обрабатывающие производства: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_mnf_costs;"Обрабатывающие производства: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_mnf_credit;"Обрабатывающие производства: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_constr;Строительство: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_constr_fact;Строительство: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_constr_3m;Строительство: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_constr_output;"Строительство: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_constr_output_3m;"Строительство: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_constr_demand;"Строительство: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_constr_demand_3m;"Строительство: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_constr_price;"Строительство: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_constr_price_3m;"Строительство: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_constr_costs;"Строительство: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_constr_credit;"Строительство: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_trade;Торговля: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_trade_fact;Торговля: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_trade_3m;Торговля: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_trade_output;"Торговля: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_trade_output_3m;"Торговля: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_trade_demand;"Торговля: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_trade_demand_3m;"Торговля: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_trade_price;"Торговля: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_trade_price_3m;"Торговля: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_trade_costs;"Торговля: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_trade_credit;"Торговля: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_transp;Транспортировка и хранение: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_transp_fact;Транспортировка и хранение: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_transp_3m;Транспортировка и хранение: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_transp_output;"Транспортировка и хранение: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_transp_output_3m;"Транспортировка и хранение: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_transp_demand;"Транспортировка и хранение: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_transp_demand_3m;"Транспортировка и хранение: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_transp_price;"Транспортировка и хранение: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_transp_price_3m;"Транспортировка и хранение: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_transp_costs;"Транспортировка и хранение: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_transp_credit;"Транспортировка и хранение: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
IBC_serv;Услуги: Индикатор бизнес-климата Банка России;m;1;1;0;0;0;1
IBC_serv_fact;Услуги: Индикатор бизнес-климата Банка России (факт);m;1;1;0;0;0;1
IBC_serv_3m;Услуги: Индикатор бизнес-климата Банка России (ожид);m;1;1;0;0;0;1
IBC_serv_output;"Услуги: Как изменился объем производства, подрядных работ, товарооборота, услуг? 
баланс ответов ";m;1;1;0;0;0;1
IBC_serv_output_3m;"Услуги: Как изменится в ближайшие три месяца объем производства, подрядных работ, товарооборота, услуг?
баланс ответов ";m;1;1;0;0;0;1
IBC_serv_demand;"Услуги: Как изменился спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_serv_demand_3m;"Услуги: Как изменится в ближайшие три месяца спрос на продукцию, товары, услуги?
баланс ответов ";m;1;1;0;0;0;1
IBC_serv_price;"Услуги: Ценовые ожидания предприятий на следующие 3 месяца, 
баланс ответов 
";m;1;1;0;0;0;1
IBC_serv_price_3m;"Услуги: Как изменились цены на готовую продукцию, работы/услуги, отпускные цены, тарифы на услуги?
баланс ответов";m;1;1;0;0;0;1
IBC_serv_costs;"Услуги: Как изменились издержки производства, обращения?
баланс ответов";m;1;1;0;0;0;1
IBC_serv_credit;"Услуги: Как изменились условия кредитования? 
баланс ответов";m;1;1;0;0;0;1
hse;Сводный опережающий индекс ВШЭ;m;1;1;0;0;0;1
rspp1;Индекс деловой среды РСПП;m;1;1;0;0;0;1
rspp2;Индекс рынка производимой продукции;m;1;1;0;0;0;1
rspp3;Индекс логистики и инфраструктуры;m;1;1;0;0;0;1
rspp4;Индекс B2B;m;1;1;0;0;0;1
rspp5;Индекс B2G;m;1;1;0;0;0;1
rspp6;Индекс финансовых рынков;m;1;1;0;0;0;1
rspp7;Индекс личной оценки делового климата;m;1;1;0;0;0;1
